,description,title,level,text
85,lear field is actively adding salesperson to work from murfreesboro tn for blue raider sports properties ideal candidates will have significant experience developing corporate marketing partnerships this position will be responsible for creating high volume of new business and implementing high level corporate marketing partnerships for the university athletic program while also building and maintaining relationships with corporate partners and the athletic department staff blue raider sports properties is lear field local dedicated entity representing middle tennessee state university in complete collaboration with the university this team is committed to extending the affinity of the blue raiders brand to businesses and corporations of all sizes looking to align with the undeniably loyal and passionate collegiate sports fan base as exclusive multimedia rights holder for tsu blue raider sports properties manages all aspects of the rights relationship providing corporate partners both traditional and new media opportunities with the blue raiders in which to bolster their own brand and garner maximum exposure through inventory such as venue signage event sponsorships and promotion corporate hospitality television and digital engagement and visibility via the official athletics website and radio game broadcasts and coaches shows official athletic website www go blue raiders com official school website www tsu edu lear field is the exclusive provider of marketing services for athletic departments at over one zero zero major universities conferences and arenas lear field people friendly culture is hallmark of its style and approach to business and is rooted in values demonstrating intentional and active care for other people the company and its employees strive to live by the company is value statement build the team grow the company and have fun,manager business development corporate partnership sales middle tennessee state university,3,manager business development corporate partnership sales middle tennessee state university lear field is actively adding salesperson to work from murfreesboro tn for blue raider sports properties ideal candidates will have significant experience developing corporate marketing partnerships this position will be responsible for creating high volume of new business and implementing high level corporate marketing partnerships for the university athletic program while also building and maintaining relationships with corporate partners and the athletic department staff blue raider sports properties is lear field local dedicated entity representing middle tennessee state university in complete collaboration with the university this team is committed to extending the affinity of the blue raiders brand to businesses and corporations of all sizes looking to align with the undeniably loyal and passionate collegiate sports fan base as exclusive multimedia rights holder for tsu blue raider sports properties manages all aspects of the rights relationship providing corporate partners both traditional and new media opportunities with the blue raiders in which to bolster their own brand and garner maximum exposure through inventory such as venue signage event sponsorships and promotion corporate hospitality television and digital engagement and visibility via the official athletics website and radio game broadcasts and coaches shows official athletic website www go blue raiders com official school website www tsu edu lear field is the exclusive provider of marketing services for athletic departments at over one zero zero major universities conferences and arenas lear field people friendly culture is hallmark of its style and approach to business and is rooted in values demonstrating intentional and active care for other people the company and its employees strive to live by the company is value statement build the team grow the company and have fun
86,the business office manager is responsible for planning organizing and directing the necessary routines for efficient operation of the business office he she must comply with federal and state regulatory standards,business office manager,0,business office manager the business office manager is responsible for planning organizing and directing the necessary routines for efficient operation of the business office he she must comply with federal and state regulatory standards
87,with bab bel anyone can learn language whether on the go in the subway or at home on the of bab bel supports those who take joy in learning outside of work or school since its founding in two zero zero seven the company has grown to become the market leader in app based language learning in total bab bel offers one four learning languages from english to indonesian professional courses are readily available via the bab bel website as well as on your smartphone or tablet at bab bel more than four zero zero team members from over three six different countries work hard in order to set standards for creating new learning experience changing the way that language learning is done is great challenge so we are looking for qa tester mobile web to join our bab bel quality assurance team with up to one two zero zero zero zero downloads per day and more than eight zero zero zero hours of language learning content bab bel is the market leading online learning app as software quality and testing expert you will work closely with other qa engineers product owners support automation engineers and development teams improve and maintain quality of work flows and procedures plan write and execute test plans for various bab bel features and platforms understand software test life cycle and execute test passes create reports for team develop test plan and test cases effectively and independently requirements you have at least one year experience with ios android or web manual testing you have excellent analytical and problem solving skills you are quick learner you are experienced with writing and executing stp std and high level str you are familiar with agile methodologies you are fluent in verbal and written english other languages is an advantage cat is qb certification is an advantage familiarity with digital marketing tools is an advantage eg optiv test automation wledge is an advantage benefits lively start up atmosphere with great team of co workers cutting edge tools tech logies long term prospects vibrant international team with over three six different nationalities great company benefits high end company bike fresh fruits drinks etc start up mentality and attractive working environment,manual qa tester ,0,manual qa tester  with bab bel anyone can learn language whether on the go in the subway or at home on the of bab bel supports those who take joy in learning outside of work or school since its founding in two zero zero seven the company has grown to become the market leader in app based language learning in total bab bel offers one four learning languages from english to indonesian professional courses are readily available via the bab bel website as well as on your smartphone or tablet at bab bel more than four zero zero team members from over three six different countries work hard in order to set standards for creating new learning experience changing the way that language learning is done is great challenge so we are looking for qa tester mobile web to join our bab bel quality assurance team with up to one two zero zero zero zero downloads per day and more than eight zero zero zero hours of language learning content bab bel is the market leading online learning app as software quality and testing expert you will work closely with other qa engineers product owners support automation engineers and development teams improve and maintain quality of work flows and procedures plan write and execute test plans for various bab bel features and platforms understand software test life cycle and execute test passes create reports for team develop test plan and test cases effectively and independently requirements you have at least one year experience with ios android or web manual testing you have excellent analytical and problem solving skills you are quick learner you are experienced with writing and executing stp std and high level str you are familiar with agile methodologies you are fluent in verbal and written english other languages is an advantage cat is qb certification is an advantage familiarity with digital marketing tools is an advantage eg optiv test automation wledge is an advantage benefits lively start up atmosphere with great team of co workers cutting edge tools tech logies long term prospects vibrant international team with over three six different nationalities great company benefits high end company bike fresh fruits drinks etc start up mentality and attractive working environment
88,with bab bel anyone can learn language whether on the go in the subway or at home on the of bab bel supports those who take joy in learning outside of work or school since its founding in two zero zero seven the company has grown to become the market leader in app based language learning in total bab bel offers one four learning languages from english to indonesian professional courses are steadily available via the bab bel website as well as on your smartphone or tablet at bab bel more than four zero zero team members from over three six different countries work hard to set standards for creating new learning experience as the head of brand you will work closely with the chief marketing officer to drive the bab bel is brand vision and strategy worldwide responsibilities define the brand strategy purpose for the bab bel brand globally collaborate with functions within bab bel to improve brand congruence across all consumer touch points coach and develop the brand insights and tv production managers build an overall marketing strategy and vision together with the cm marketing leadership optimize business impact of campaign creative development develop relationship with creative agency partner drive analysis share actionable consumer insights with the bab bel organization requirements five years of experience with brand strategy creative communication development and two businesses track record of delivering breakthrough consumer communication to grow the business via brand perception two years of experience directly leading team including hiring developing and motivating employees knack for consumer psychology and storytelling ability to excel in fast growing undefined category fast changing work environment excellent interpersonal skills analytic and strategic thinking solid finance understanding and online performance marketing wledge international work experience benefits high degree of ownership and responsibility grow with the company and gain more responsibility work for an inspirational product and great success story vibrant international team from over three six different nationalities lively startup atmosphere with friendly working hours start up mentality and attractive working environment in the heart of berlin,head of brand,3,head of brand with bab bel anyone can learn language whether on the go in the subway or at home on the of bab bel supports those who take joy in learning outside of work or school since its founding in two zero zero seven the company has grown to become the market leader in app based language learning in total bab bel offers one four learning languages from english to indonesian professional courses are steadily available via the bab bel website as well as on your smartphone or tablet at bab bel more than four zero zero team members from over three six different countries work hard to set standards for creating new learning experience as the head of brand you will work closely with the chief marketing officer to drive the bab bel is brand vision and strategy worldwide responsibilities define the brand strategy purpose for the bab bel brand globally collaborate with functions within bab bel to improve brand congruence across all consumer touch points coach and develop the brand insights and tv production managers build an overall marketing strategy and vision together with the cm marketing leadership optimize business impact of campaign creative development develop relationship with creative agency partner drive analysis share actionable consumer insights with the bab bel organization requirements five years of experience with brand strategy creative communication development and two businesses track record of delivering breakthrough consumer communication to grow the business via brand perception two years of experience directly leading team including hiring developing and motivating employees knack for consumer psychology and storytelling ability to excel in fast growing undefined category fast changing work environment excellent interpersonal skills analytic and strategic thinking solid finance understanding and online performance marketing wledge international work experience benefits high degree of ownership and responsibility grow with the company and gain more responsibility work for an inspirational product and great success story vibrant international team from over three six different nationalities lively startup atmosphere with friendly working hours start up mentality and attractive working environment in the heart of berlin
89,business development manager india bangalore india business development full time apply for this job,business development manager india,0,business development manager india business development manager india bangalore india business development full time apply for this job
90,business development growth partnerships mountain view or san francisco business development full time apply for this job,business development growth partnerships,0,business development growth partnerships business development growth partnerships mountain view or san francisco business development full time apply for this job
91,country manager da ch germany austria switzerland berlin germany business development full time apply for this job,country manager da ch germany austria switzerland,3,country manager da ch germany austria switzerland country manager da ch germany austria switzerland berlin germany business development full time apply for this job
92,country manager uk london uk business development consultant apply for this job,country manager uk,3,country manager uk country manager uk london uk business development consultant apply for this job
93,at uda city our mission is to democratize education we aim to bring accessible affordable engaging and highly relevant higher education to the world we believe that education is longer limited to four years or four walls it lifelong pursuit tech logy is advancing rapidly and there is growing skills gap between job seekers and career opportunities that uda city is dedicated to closing through education to do this we are rethinking how education is made and delivered by empowering our students to advance themselves personally and professionally and help them land their dream job want to help what we are looking for solid understanding of how the internet works including http protocols tcp ip and dns solid experience developing restful services in java or python ability to write reasonable testable code and significant experience with common frameworks and libraries significant experience with variety of data store tech logies both sql and sql familiarity with highly scalable architecture concepts and some experience with public cloud environments like amazon web services google cloud platform microsoft azure etc experience or at least strong interest in developing android or ios applications you should also have passion for learning have previous teaching experience it is ok if it is acquired in an informal environment be good at breaking down complicated material and explaining it in way that others can understand be creative about presenting the material be it using drawings memes skits or something else have strong organizational skills and be comfortable tackling really big projects we believe that education is longer one time event but lifelong pursuit tech logy is advancing and there is growing gap in skills and the wledge needed to contribute to modern society we are rethinking how education is delivered to provide relevant affordable and lifelong learning opportunities we teach modern programming software development data science product design and entrepreneurship in an engaging accessible way that emphasizes mastery over memorization we are an equal opportunity employer and value diversity at our company we do discriminate on the basis of race religion color national origin gender sexual orientation age marital status veteran status or disability status apply for this job,course developer cloud,0,course developer cloud at uda city our mission is to democratize education we aim to bring accessible affordable engaging and highly relevant higher education to the world we believe that education is longer limited to four years or four walls it lifelong pursuit tech logy is advancing rapidly and there is growing skills gap between job seekers and career opportunities that uda city is dedicated to closing through education to do this we are rethinking how education is made and delivered by empowering our students to advance themselves personally and professionally and help them land their dream job want to help what we are looking for solid understanding of how the internet works including http protocols tcp ip and dns solid experience developing restful services in java or python ability to write reasonable testable code and significant experience with common frameworks and libraries significant experience with variety of data store tech logies both sql and sql familiarity with highly scalable architecture concepts and some experience with public cloud environments like amazon web services google cloud platform microsoft azure etc experience or at least strong interest in developing android or ios applications you should also have passion for learning have previous teaching experience it is ok if it is acquired in an informal environment be good at breaking down complicated material and explaining it in way that others can understand be creative about presenting the material be it using drawings memes skits or something else have strong organizational skills and be comfortable tackling really big projects we believe that education is longer one time event but lifelong pursuit tech logy is advancing and there is growing gap in skills and the wledge needed to contribute to modern society we are rethinking how education is delivered to provide relevant affordable and lifelong learning opportunities we teach modern programming software development data science product design and entrepreneurship in an engaging accessible way that emphasizes mastery over memorization we are an equal opportunity employer and value diversity at our company we do discriminate on the basis of race religion color national origin gender sexual orientation age marital status veteran status or disability status apply for this job
94,at uda city our mission is to democratize education we aim to bring accessible affordable engaging and highly relevant higher education to the world we believe that education is longer limited to four years or four walls it lifelong pursuit tech logy is advancing rapidly and there is growing skills gap between job seekers and career opportunities that uda city is dedicated to closing through education to do this we are rethinking how education is made and delivered by empowering our students to advance themselves personally and professionally and help them land their dream job earlier this year we teamed up with leading tech companies to develop new kind of online curriculum and introduced our na degree programs industry credentials for today is jobs in tech logy as data engineering course developer you ll work on new na degree enabling our students to handle massive data sets using modern tech logies such as had oop and kafka you ll also have lots of opportunity to envision and build brand new curriculum around big data data science or whatever else our students might need what we are looking for have passion for big data and creative ideas on how to process it have experience designing efficient and robust data et work flows with python java and or scala understand data et techniques and best practices to handle extremely large volume of data have wledge of batch processing frameworks like had oop and or real time computation frameworks like storm you should also have previous teaching experience be good at breaking down complicated material and explaining it in way that students can understand have strong organizational skills and be comfortable tackling really big projects we teach modern programming software development data science product design and entrepreneurship in an engaging accessible way that emphasizes mastery over memorization we are an equal opportunity employer and value diversity at our company we do discriminate on the basis of race religion color national origin gender sexual orientation age marital status veteran status or disability status apply for this job,course developer data engineering,0,course developer data engineering at uda city our mission is to democratize education we aim to bring accessible affordable engaging and highly relevant higher education to the world we believe that education is longer limited to four years or four walls it lifelong pursuit tech logy is advancing rapidly and there is growing skills gap between job seekers and career opportunities that uda city is dedicated to closing through education to do this we are rethinking how education is made and delivered by empowering our students to advance themselves personally and professionally and help them land their dream job earlier this year we teamed up with leading tech companies to develop new kind of online curriculum and introduced our na degree programs industry credentials for today is jobs in tech logy as data engineering course developer you ll work on new na degree enabling our students to handle massive data sets using modern tech logies such as had oop and kafka you ll also have lots of opportunity to envision and build brand new curriculum around big data data science or whatever else our students might need what we are looking for have passion for big data and creative ideas on how to process it have experience designing efficient and robust data et work flows with python java and or scala understand data et techniques and best practices to handle extremely large volume of data have wledge of batch processing frameworks like had oop and or real time computation frameworks like storm you should also have previous teaching experience be good at breaking down complicated material and explaining it in way that students can understand have strong organizational skills and be comfortable tackling really big projects we teach modern programming software development data science product design and entrepreneurship in an engaging accessible way that emphasizes mastery over memorization we are an equal opportunity employer and value diversity at our company we do discriminate on the basis of race religion color national origin gender sexual orientation age marital status veteran status or disability status apply for this job
95,at uda city our mission is to democratize education we aim to bring accessible affordable engaging and highly relevant higher education to the world we believe that education is longer limited to four years or four walls it lifelong pursuit tech logy is advancing rapidly and there is growing skills gap between job seekers and career opportunities that uda city is dedicated to closing through education to do this we are rethinking how education is made and delivered by empowering our students to advance themselves personally and professionally and help them land their dream job want to help what we are looking for be proficient in java and or other jvm languages groovy ruby etc experience deploying on two ee ee application servers experience using java web frameworks such as spring grail etc have solid understanding of how the web works including http protocols tcp ip and dns write reasonable testable code and have significant experience with common frameworks and libraries have experience with variety of data store tech logies and object relational mapping or familiarity with highly scalable architecture and cloud environments like amazon web services etc if you share our passion for education take moment to learn what this job is all about from our course development team course development behind the scenes we believe that education is longer one time event but lifelong pursuit tech logy is advancing and there is growing gap in skills and the wledge needed to contribute to modern society we are rethinking how education is delivered to provide relevant affordable and lifelong learning opportunities we teach modern programming software development data science product design and entrepreneurship in an engaging accessible way that emphasizes mastery over rote memorization we are an equal opportunity employer and value diversity at our company we do discriminate on the basis of race religion color national origin gender sexual orientation age marital status veteran status or disability status apply for this job,course developer java,0,course developer java at uda city our mission is to democratize education we aim to bring accessible affordable engaging and highly relevant higher education to the world we believe that education is longer limited to four years or four walls it lifelong pursuit tech logy is advancing rapidly and there is growing skills gap between job seekers and career opportunities that uda city is dedicated to closing through education to do this we are rethinking how education is made and delivered by empowering our students to advance themselves personally and professionally and help them land their dream job want to help what we are looking for be proficient in java and or other jvm languages groovy ruby etc experience deploying on two ee ee application servers experience using java web frameworks such as spring grail etc have solid understanding of how the web works including http protocols tcp ip and dns write reasonable testable code and have significant experience with common frameworks and libraries have experience with variety of data store tech logies and object relational mapping or familiarity with highly scalable architecture and cloud environments like amazon web services etc if you share our passion for education take moment to learn what this job is all about from our course development team course development behind the scenes we believe that education is longer one time event but lifelong pursuit tech logy is advancing and there is growing gap in skills and the wledge needed to contribute to modern society we are rethinking how education is delivered to provide relevant affordable and lifelong learning opportunities we teach modern programming software development data science product design and entrepreneurship in an engaging accessible way that emphasizes mastery over rote memorization we are an equal opportunity employer and value diversity at our company we do discriminate on the basis of race religion color national origin gender sexual orientation age marital status veteran status or disability status apply for this job
96,at uda city our mission is to democratize education we aim to bring accessible affordable engaging and highly relevant higher education to the world we believe that education is longer limited to four years or four walls it lifelong pursuit tech logy is advancing rapidly and there is growing skills gap between job seekers and career opportunities that uda city is dedicated to closing through education to do this we are rethinking how education is made and delivered by empowering our students to advance themselves personally and professionally and help them land their dream job want to help what we are looking for have solid understanding of how the web works including http protocols tcp ip and dns experience developing front end applications in html five css three and javascript using modern frameworks tooling and best practices be proficient in server side language like python de js ruby java or php write reasonable testable code and have significant experience with common frameworks and libraries have significant experience with variety of data store tech logies both sql and sql familiarity with highly scalable architecture and cloud environments like amazon web services google app engine etc you should also have previous teaching experience be good at breaking down complicated material and explaining it in way that students can understand have strong organizational skills and be comfortable tackling really big projects if you are interested in seeing an inside look at course development directly from the team check out this video we believe that education is longer one time event but lifelong pursuit tech logy is advancing and there is growing gap in skills and the wledge needed to contribute to modern society we are rethinking how education is delivered to provide relevant affordable and lifelong learning opportunities we teach modern programming software development data science product design and entrepreneurship in an engaging accessible way that emphasizes mastery over memorization we are an equal opportunity employer and value diversity at our company we do discriminate on the basis of race religion color national origin gender sexual orientation age marital status veteran status or disability status apply for this job,course developer web development,0,course developer web development at uda city our mission is to democratize education we aim to bring accessible affordable engaging and highly relevant higher education to the world we believe that education is longer limited to four years or four walls it lifelong pursuit tech logy is advancing rapidly and there is growing skills gap between job seekers and career opportunities that uda city is dedicated to closing through education to do this we are rethinking how education is made and delivered by empowering our students to advance themselves personally and professionally and help them land their dream job want to help what we are looking for have solid understanding of how the web works including http protocols tcp ip and dns experience developing front end applications in html five css three and javascript using modern frameworks tooling and best practices be proficient in server side language like python de js ruby java or php write reasonable testable code and have significant experience with common frameworks and libraries have significant experience with variety of data store tech logies both sql and sql familiarity with highly scalable architecture and cloud environments like amazon web services google app engine etc you should also have previous teaching experience be good at breaking down complicated material and explaining it in way that students can understand have strong organizational skills and be comfortable tackling really big projects if you are interested in seeing an inside look at course development directly from the team check out this video we believe that education is longer one time event but lifelong pursuit tech logy is advancing and there is growing gap in skills and the wledge needed to contribute to modern society we are rethinking how education is delivered to provide relevant affordable and lifelong learning opportunities we teach modern programming software development data science product design and entrepreneurship in an engaging accessible way that emphasizes mastery over memorization we are an equal opportunity employer and value diversity at our company we do discriminate on the basis of race religion color national origin gender sexual orientation age marital status veteran status or disability status apply for this job
97,at uda city our mission is to democratize education we aim to bring accessible affordable engaging and highly relevant higher education to the world we believe that education is longer limited to four years or four walls it lifelong pursuit tech logy is advancing rapidly and there is growing skills gap between job seekers and career opportunities that uda city is dedicated to closing through education to do this we are rethinking how education is made and delivered by empowering our students to advance themselves personally and professionally and help them land their dream job check out our engineering team https vim eo com one three five seven two three five seven three you might be devo ps engineer if if typing the same thing twice makes you break out in hives if automating manual operations cures those hives if action without measuring nauseates you if monitoring is your me clo zine if you take extreme pride in your work if you feel deeply responsible for your work if stack overflow does quite fulfill your craving for understanding if the engineering journey is as important as the destination if you have firm experience based opinions if new data modifies your strong opinions values devo ps engineer loves learning cherishes simplicity engineers responsibly and encourages those attributes in others methods expertise in specific methods is subservient to values but we do try to use the sharpest available these include infrastructure as code continuous integration continuous deployment immutability dem po ten ce functional programming tools experience in specific tools is subservient to methods but we do try to use the sharpest available these include amazon web services terraform packer docker an sib le meso kafka riemann influx db it the best programming language for the job bash python er lang clo jure go the best editor red acted this position is applicable for the two four hour candidate response commitment within two four hours one business day of your on site interview we will give you definitive hiring decision you can read more here https medium com fec seven dc seven five three we are an equal opportunity employer and value diversity at our company we do discriminate on the basis of race religion color national origin gender sexual orientation age marital status veteran status or disability status apply for this job,devo ps engineer,0,devo ps engineer at uda city our mission is to democratize education we aim to bring accessible affordable engaging and highly relevant higher education to the world we believe that education is longer limited to four years or four walls it lifelong pursuit tech logy is advancing rapidly and there is growing skills gap between job seekers and career opportunities that uda city is dedicated to closing through education to do this we are rethinking how education is made and delivered by empowering our students to advance themselves personally and professionally and help them land their dream job check out our engineering team https vim eo com one three five seven two three five seven three you might be devo ps engineer if if typing the same thing twice makes you break out in hives if automating manual operations cures those hives if action without measuring nauseates you if monitoring is your me clo zine if you take extreme pride in your work if you feel deeply responsible for your work if stack overflow does quite fulfill your craving for understanding if the engineering journey is as important as the destination if you have firm experience based opinions if new data modifies your strong opinions values devo ps engineer loves learning cherishes simplicity engineers responsibly and encourages those attributes in others methods expertise in specific methods is subservient to values but we do try to use the sharpest available these include infrastructure as code continuous integration continuous deployment immutability dem po ten ce functional programming tools experience in specific tools is subservient to methods but we do try to use the sharpest available these include amazon web services terraform packer docker an sib le meso kafka riemann influx db it the best programming language for the job bash python er lang clo jure go the best editor red acted this position is applicable for the two four hour candidate response commitment within two four hours one business day of your on site interview we will give you definitive hiring decision you can read more here https medium com fec seven dc seven five three we are an equal opportunity employer and value diversity at our company we do discriminate on the basis of race religion color national origin gender sexual orientation age marital status veteran status or disability status apply for this job
98,at uda city our mission is to democratize education we aim to bring accessible affordable engaging and highly relevant higher education to the world we believe that education is longer limited to four years or four walls it lifelong pursuit tech logy is advancing rapidly and there is growing skills gap between job seekers and career opportunities that uda city is dedicated to closing through education to do this we are rethinking how education is made and delivered by empowering our students to advance themselves personally and professionally and help them land their dream job check out our engineering team https vim eo com one three five seven two three five seven three what we re looking for cs fundamentals wledge of oo functional javascript and client side mv wledge of css and familiarity with css preprocessing frameworks sass less an engineering mindset and consideration of the tradeoffs present in every decision user centric mentality passion for building products with great user experience this position is applicable for the two four hour candidate response commitment within two four hours one business day of your on site interview we will give you definitive hiring decision you can read more here https medium com fec seven dc seven five three we are an equal opportunity employer and value diversity at our company we do discriminate on the basis of race religion color national origin gender sexual orientation age marital status veteran status or disability status apply for this job,front end engineer,2,front end engineer at uda city our mission is to democratize education we aim to bring accessible affordable engaging and highly relevant higher education to the world we believe that education is longer limited to four years or four walls it lifelong pursuit tech logy is advancing rapidly and there is growing skills gap between job seekers and career opportunities that uda city is dedicated to closing through education to do this we are rethinking how education is made and delivered by empowering our students to advance themselves personally and professionally and help them land their dream job check out our engineering team https vim eo com one three five seven two three five seven three what we re looking for cs fundamentals wledge of oo functional javascript and client side mv wledge of css and familiarity with css preprocessing frameworks sass less an engineering mindset and consideration of the tradeoffs present in every decision user centric mentality passion for building products with great user experience this position is applicable for the two four hour candidate response commitment within two four hours one business day of your on site interview we will give you definitive hiring decision you can read more here https medium com fec seven dc seven five three we are an equal opportunity employer and value diversity at our company we do discriminate on the basis of race religion color national origin gender sexual orientation age marital status veteran status or disability status apply for this job
99,web product eng team members three javascript js coffee script typescript html css json react chrome safari firefox dev tools web performance profiling and optimization de pm grunt gulp automation tools apply for this job,front end web developer,0,front end web developer web product eng team members three javascript js coffee script typescript html css json react chrome safari firefox dev tools web performance profiling and optimization de pm grunt gulp automation tools apply for this job
100,at uda city our mission is to democratize education we aim to bring accessible affordable engaging and highly relevant higher education to the world we believe that education is longer limited to four years or four walls it lifelong pursuit tech logy is advancing rapidly and there is growing skills gap between job seekers and career opportunities that uda city is dedicated to closing through education to do this we are rethinking how education is made and delivered by empowering our students to advance themselves personally and professionally and help them land their dream job check out our engineering team https vim eo com one three five seven two three five seven three responsibilities building out classenioroom framework that lets our students switch between hundreds of videos quizzes and programming environments without ever reloading the page rolling out new style framework for our whole site versatile ways to grade student submissions including everything from simple answers to large multi file projects and exams that adjust their difficulty to students performance find ways to incorporate the best new tech logies into our stack and the bulk of the work we do revolves around building new features rather than iterating on old ones what we re looking for experience with object oriented design wledge or willingness and ability to become fluent in python functional javascript and client side mv user centric mentality passionate about building products with great user experience this position is applicable for the two four hour candidate response commitment within two four hours one business day of your on site interview we will give you definitive hiring decision you can read more here https medium com fec seven dc seven five three we are an equal opportunity employer and value diversity at our company we do discriminate on the basis of race religion color national origin gender sexual orientation age marital status veteran status or disability status apply for this job,full stack engineer,2,full stack engineer at uda city our mission is to democratize education we aim to bring accessible affordable engaging and highly relevant higher education to the world we believe that education is longer limited to four years or four walls it lifelong pursuit tech logy is advancing rapidly and there is growing skills gap between job seekers and career opportunities that uda city is dedicated to closing through education to do this we are rethinking how education is made and delivered by empowering our students to advance themselves personally and professionally and help them land their dream job check out our engineering team https vim eo com one three five seven two three five seven three responsibilities building out classenioroom framework that lets our students switch between hundreds of videos quizzes and programming environments without ever reloading the page rolling out new style framework for our whole site versatile ways to grade student submissions including everything from simple answers to large multi file projects and exams that adjust their difficulty to students performance find ways to incorporate the best new tech logies into our stack and the bulk of the work we do revolves around building new features rather than iterating on old ones what we re looking for experience with object oriented design wledge or willingness and ability to become fluent in python functional javascript and client side mv user centric mentality passionate about building products with great user experience this position is applicable for the two four hour candidate response commitment within two four hours one business day of your on site interview we will give you definitive hiring decision you can read more here https medium com fec seven dc seven five three we are an equal opportunity employer and value diversity at our company we do discriminate on the basis of race religion color national origin gender sexual orientation age marital status veteran status or disability status apply for this job
101,full stack engineer international mountain view or san francisco engineering full time apply for this job,full stack engineer international,2,full stack engineer international full stack engineer international mountain view or san francisco engineering full time apply for this job
